DICO;Localizacao;pop_risco_pobreza;proporcao_al;txt_esforco_2023;variacao_txt_esforco_2017_2023;prop_fogos_hab_social;aru_oru;prop_drenagem_agua;prop_abast_agua;r_edi_habfa;certificacao_a_c;emicao_co2_transportes;cheias_inu;incendios;inund_galg;movi_massa;nevoes_pon;onda_de_calor;onda_de_fr;seca_ponde;sismo_pord;tsunami_po;ventos_for
0101;Águeda;18,48844376;1,51;30,55485305;7,125922453;0,32785452;1;90;99;1,4;43;65,64;0,44;59,749;0;10,729;0,763;47,228;66,667;33,341;44,217;1,069;39,849
0102;Albergaria-a-Velha;18,67271458;3,58;28,59790812;3,871641479;0,63992124;0;90;100;0;29;68,63;3,999;47,401;7,93;5,269;0;28,798;66,667;33,333;42,363;8,501;36,196
0103;Anadia;20,77777778;3,51;27,73606662;3,131823342;0,114996956;1;99;100;20;35;47,29;0;44,001;0;4,86;0,001;50;66,667;33,333;51,588;0;37,005
0104;Arouca;26,15665236;5,86;30,26373626;2,303438497;0,21812233;3;51;81;25,9;62;20,68;0;82,112;0;29,526;14,741;50;66,667;33,333;33,333;0;59,068
0105;Aveiro;15,51187905;9,1;39,41397913;10,40678489;2,175824176;0;100;100;12,6;48;152,28;14,495;19,528;33,043;0,092;0;25;66,63;33,333;56,134;30,441;39,305
0106;Castelo de Paiva;28,10268949;1,55;25,3540856;1,186253434;0,542184607;4;18;100;40;44;17,75;0;74,567;0;27,953;0,203;50;66,667;33,333;33,333;0;38,696
0107;Espinho;18,82255846;5,8;40,24555735;5,509167667;4,900101163;0;100;100;14;42;59,97;0;19,892;22,403;0,031;0;25;66,667;33,333;54,109;12,314;65,23
0108;Estarreja;20,12727273;1,06;27,99676637;4,285973865;0,378787879;1;80;100;7,1;34;88,51;10,48;25,444;27,229;0,344;0;25;66,667;33,333;56,683;21,056;38,465
0109;Santa Maria da Feira;19,89283019;0,75;30,46730529;3,844330053;1,284644134;0;97;98;0;48;269,77;0;38,305;0;3,697;0;40,526;66,667;33,333;34,863;0;46,639
0110;Ílhavo;17,5045977;7,61;37,57242439;9,420424388;0,205104831;1;90;100;10,4;43;59,92;8,508;17,2;56,223;0;0;25;66,664;33,333;55,677;33,717;45,188
0111;Mealhada;17,51068229;2,42;23,68573824;2,598524584;0,3658067;3;87;100;25;46;34,35;0;41,972;0;5,804;0,024;50;66,667;38,023;45,993;0;35,835
