DICO;Localizacao;pop_risco_pobreza;proporcao_al;txt_esforco_2023;variacao_txt_esforco_2017_2023;prop_fogos_hab_social;aru_oru;prop_drenagem_agua;prop_abast_agua;r_edi_habfa;certificacao_a_c;emicao_co2_transportes;cheias_inu;incendios;inund_galg;movi_massa;nevoes_pon;onda_de_calor;onda_de_fr;seca_ponde;sismo_pord;tsunami_po;ventos_for
0101;Águeda;23,57258;1,579333;25,57567517;56,48673578;3,094533;96,875;10,52631579;2,12766;98,6;37,68115942;6,956456904;0,821201941;62,52501364;0;19,48920092;0,906768079;29,63733333;55,61990733;0,01199994;21,74102132;1,541323029;17,28182843
0102;Albergaria-a-Velha;24,21702;3,744378;22,41786955;48,34556744;6,040048;100;10,52631579;0;100;57,97101449;7,274935026;7,463605823;48,48553757;11,75790285;9,571124957;0;5,064;55,61990733;0;19,14001122;12,25705058;12,25831293
0103;Anadia;31,57889;3,671164;21,0271672;46,4947795;1,085426;96,875;1,052631579;0;80;49,27536232;5,00191726;0;44,61979261;0;8,828177508;0,001188425;33,33333333;55,61990733;0;32,08193042;0;13,37082978
0104;Arouca;50,39002;6,129066;25,10591733;44,42242603;2,058799;90,625;51,57894737;40,42553;74,1;10,14492754;2,167568489;0;87,95138257;0;53,63390311;17,51856914;33,33333333;55,61990733;0;6,471661055;0;43,71132319
0105;Aveiro;13,16287;9,517833;39,87111991;64,69440242;20,53703;100;0;0;87,4;30,43478261;16,18486643;27,05300485;16,79438785;48,99323884;0,167117764;0;0;55,57064494;0;38,45959596;43,8909395;16,53373305
0106;Castelo de Paiva;57,19575;1,621169;17,18350612;41,62758694;5,117538;87,5;86,31578947;0;60;36,23188406;1,855481232;0;79,37283973;0;50,77655265;0,241250223;33,33333333;55,61990733;0;6,471661055;0;15,69625127
0107;Espinho;24,74105;6,066311;41,21298821;52,4421333;46,25077;100;0;0;86;39,13043478;6,352520131;0;17,20824995;33,21718759;0,05631142;0;0;55,61990733;0;35,61868687;17,75477248;52,18515361
0108;Estarreja;29,30393;1,108671;21,44784287;49,38209432;3,575279;96,875;21,05263158;0;92,9;50,72463768;9,392441737;19,55953714;23,52078406;40,37275369;0,624875116;0;0;55,61990733;0;39,22979798;30,35930561;15,37858577
0109;Santa Maria da Feira;28,48403;0,784437;25,43440456;48,277243;12,12542;100;3,157894737;4,255319;100;30,43478261;28,69924588;0;38,14353284;0;6,715590997;0;20,70133333;55,61990733;0;8,618125701;0;26,61926896
0110;Ílhavo;20,13185;7,959418;36,89951258;62,22684447;1,935931;96,875;10,52631579;0;89,6;37,68115942;6,34719441;15,87905935;14,14748954;83,36249333;0;0;0;55,61591309;0;37,8184624;48,61439529;24,62388955
0111;Mealhada;20,15313;2,531116;14,49139324;45,16063687;3,452753;90,625;13,68421053;0;75;33,33333333;3,623620638;0;42,31285246;0;10,54295108;0,028522194;33,33333333;55,61990733;7,034964825;24,23260382;0;11,76187464
0112;Murtosa;53,60715;6,526514;27,96371288;48,41633245;16,34147;93,75;6,315789474;2,12766;63;55,07246377;0,929870905;35,53004853;15,15030926;100;0;0;0;55,61990733;0;26,2037037;80,70967184;25,61126544
0113;Oliveira de Azeméis;22,19595;0,533417;17,39056846;48,66009837;1,586186;100;43,15789474;34,04255;85;36,23188406;9,059051596;0;44,87334;0;15,34577029;0,116465625;20,66266667;55,61990733;0;10,04489338;0;25,83954454
0114;Oliveira do Bairro;25,3785;1,140048;21,73680203;53,10337155;0,417348;81,25;2,105263158;0;92,7;43,47826087;4,047548038;0;27,94365108;0;0,366932481;0;12,98666667;55,61990733;0;51,25;1,440394486;8,321185951
0115;Ovar;22,50648;8,105847;29,26029119;50,97756176;8,810333;96,875;8,421052632;0;99;43,47826087;11,93920157;7,661440836;24,32235765;37,03813534;0,065393907;0;0,013333333;55,60792459;0;39,28310887;20,4827268;30,00632581
0116;São João da Madeira;22,51417;1,4852;27,92217037;50,58588423;58,96272;96,875;0;0;63,6;66,66666667;3,10169997;0;9,471075132;0;0,401445932;0;33,33333333;55,61990733;0;6,471661055;0;14,49847356
0117;Sever do Vouga;34,42052;3,828051;9,718871939;37,84229303;2,493548;100;37,89473684;27,65957;61,9;52,17391304;1,876784117;0;73,59355103;0;42,59504823;1,495038327;33,33333333;55,61990733;0;6,61335578;0;37,76093952
0118;Vagos;38,38649;4,110449;28,23640009;56,72414326;3,017407;96,875;8,421052632;0;100;34,7826087;3,567167995;2,821948488;38,90644897;18,77409406;0,219796189;0;0;55,61990733;0;51,50673401;10,61912452;14,5906103
0119;Vale de Cambra;24,89308;2,332392;23,23869831;57,10896108;0,237393;100;26,31578947;70,21277;86,3;47,82608696;2,62984108;0;74,98067128;0;49,83560698;10,99055202;33,33333333;55,61990733;0;7,443883277;0;58,81349872
0201;Aljustrel;8,299699;1,349231;20,98235658;46,74164173;4,801799;100;4,210526316;8,510638;100;76,8115942;2,916364876;0;20,19510642;0;0,110806343;0;65,4;55,61990733;79,83860081;12,328844;0;8,321185951
