municipality_code,municipality_name,taxa_crescimento_efetivo,taxa_bruta_natalidade,prop_pop_65_mais,prop_ensino_secundario,prop_nacionalidade_estrangeira,densidade_populacional,empresas_volume_negocios,percentagem_poder_compra,coeficiente_gini,disparidade_ganho_mensal,taxa_desemprego,prop_risco_pobreza,prop_agregados_unipessoais,prop_edificios_fora_urbano,prop_mais_20min_escola,prop_mais_30min_hospital,duracao_pendulares,acessos_internet_banda_larga,valor_mediano_vendas_m2,racio_vendas_estrangeiros,taxa_esforco_arrendamento,prop_alojamentos_arrendados,prop_alojamentos_sobrelotados,prop_habitacao_social,prop_alojamentos_locais,indice_envelhecimento_edificios,prop_necessidade_reparacao,prop_reabilitacao_edificado,prop_alojamentos_vagos,prop_vagos_bom_estado,prop_alojamentos_nao_classicos,certificacao_energetica_cf,consumo_energia_eletrica,emissoes_gee_edificios,prop_sem_aquecimento,prop_ar_condicionado,emissoes_gee_transportes,prop_modo_pedonal,prop_transporte_coletivo,risco_incendio_rural,risco_inundacao,risco_galgamentos_costeiros,risco_ondas_calor,risco_ondas_frio,risco_nevao,risco_seca,risco_sismo,risco_movimento_massa,risco_tsunami
0101,Águeda,1.07,7.3,25.71,38.47,0.103,142.4,358122.9,0.397,42.9,10.5,4.57,18.48844376,20.8,1,82.87,0,14.74,40.03,990,1,30.55485305,0.0434,9.04769893194654,0.32785452,1.51,636.7,16.44,1.4,12.6,56.61412,0.02,59.7977244,1328.3,10.75,19.71,11.79332327,65.64,8.7,5.9,59.749,0.44,0,47.228,66.667,0.763,33.341,44.217,10.729,1.069
0102,Albergaria-a-Velha,1.51,6.8,22.81,38.82,0.076,164.8,470233,0.207,39.5,10.5,4.92,18.67271458,20.32,2.6,68.49,0,15.99,38.37,1184,1,28.59790812,0.043,10.7357512953367,0.63992124,3.58,840.6,13.38,0,11.4,56.30252,0,53.10173697,1258.7,5.39,21.34,13.43005181,68.63,10.2,7.3,47.401,3.999,7.93,28.798,66.667,0,33.333,42.363,5.269,8.501
0103,Anadia,1.08,6.2,29.46,38.17,0.084,131.6,219396.3,0.218,43.1,7.8,4.33,20.77777778,23.24,2.5,83.12,0,16.06,40.28,776,1,27.73606662,0.0256,6.94624053205246,0.114996956,3.51,1137.3,19.29,20,15.5,47.63339,0.11,64.63963964,1416.7,6.51,19.43,9.606502863,47.29,8.6,7.5,44.001,0,0,50,66.667,0.001,33.333,51.588,4.86,0
0104,Arouca,-0.43,6.2,23.79,31.66,0.025,63.3,291594.3,0.148,39.5,7.7,4.83,26.15665236,17.43,15,77.78,21,18.41,32.92,1017,1,30.26373626,0.0578,11.963674651224,0.21812233,5.86,523.3,16.72,25.9,10.1,47.73736,0.04,27.42474916,1312.2,4.46,19.85,11.71360884,20.68,12,11.6,82.112,0,0,50,66.667,14.741,33.333,33.333,29.526,0
0105,Aveiro,2.43,7.4,21.01,54.45,0.158,446.2,366032.6,0.953,45.7,12.1,5.7,15.51187905,25.29,2,55.42,0,16.18,46.87,2096,1,39.41397913,0.0577,11.3201229720269,2.175824176,9.1,598.5,8.94,12.6,10.9,69.41075,0.24,39.05053599,1259.1,30.74,25.4,7.414847959,152.28,14.9,7.8,19.528,14.495,33.043,25,66.63,0,33.333,56.134,0.092,30.441
0106,Castelo de Paiva,-0.34,5.6,20.86,30.16,0.028,133.9,173193.8,0.103,36.9,7.3,7.06,28.10268949,15.53,24.8,100,41,22.52,32.92,886,1,25.3540856,0.0362,11.9293865905848,0.542184607,1.55,794.2,14.91,40,12.9,60.79027,0,42.67782427,1216.7,3.5,22.56,20.91654779,17.75,11.2,20,74.567,0,0,50,66.667,0.203,33.333,33.333,27.953,0
0107,Espinho,1.05,4.9,28.26,42.78,0.055,1554.4,161652.4,0.306,44.5,8.7,10.07,18.82255846,24.04,2.1,30.5,1,19.23,42.56,2558,1,40.24555735,0.0841,13.3829889476213,4.900101163,5.8,935.3,18.77,14,10.1,60.57811,0.02,38.10848401,1284.1,6.67,37.38,4.717283357,59.97,22,13.5,19.892,0,22.403,25,66.667,0,33.333,54.109,0.031,12.314
0108,Estarreja,1.38,7,24.39,37.03,0.064,254,740189.5,0.219,41,12.5,6.24,20.12727273,19.9,7.6,78.46,0,17.04,37.39,1071,1,27.99676637,0.0723,10.5855855855855,0.378787879,1.06,654.1,19.29,7.1,14.4,51.38741,0.63,62.42236025,1244.9,7.8,26.92,8.548321048,88.51,10.6,9.6,25.444,10.48,27.229,25,66.667,0,33.333,56.683,0.344,21.056
0109,Santa Maria da Feira,0.52,7.1,20.95,39.45,0.033,651.1,307660.6,1.17,41.6,7.6,7.71,19.89283019,17.55,1.9,76.1,0,17.08,39.28,1327,1,30.46730529,0.0547,12.4685830977065,1.284644134,0.75,586.9,15.74,0,9.3,54.2405,0.08,57.95454545,1279,11.59,28.72,15.12331134,269.77,9.5,8.9,38.305,0,0,40.526,66.667,0,33.333,34.863,3.697,0
0110,Ílhavo,2.53,6.8,21.52,46.54,0.094,588.1,738642.8,0.347,44.1,13.9,6.34,17.5045977,23.16,3.6,54.91,1,15.57,44.77,1706,1,37.57242439,0.0337,10.3594897564746,0.205104831,7.61,618.7,13.08,10.4,9.8,58.42799,0.82,42.47881356,1280.9,11.77,25.9,5.985053472,59.92,9.5,5.4,17.2,8.508,56.223,25,66.664,0,33.333,55.677,0,33.717
